run_name,n,target_macro_f1_mean,target_macro_f1_std,worst_domain_macro_f1_mean,worst_domain_macro_f1_std,domain8_macro_f1_mean,domain8_macro_f1_std,source_val_macro_f1_mean,source_val_macro_f1_std
wicbr_carat_lodo,7,0.831935431276049,0.015935542141201405,0.45502886176109314,0.059998569586865766,0.45502886176109314,0.059998569586865766,0.8110554558890206,0.22014584587988453
wicbr_carat_v2_lodo,7,0.8402338482084728,0.02867575975332565,0.5002690706224668,0.07064724761106111,0.5002690706224668,0.07064724761106111,0.8222084258283888,0.2182389734628348
wicbr_carat_v3_lodo,7,0.84352584254174,0.028380318829185482,0.526192507928326,0.07056501776101415,0.526192507928326,0.07056501776101415,0.8328766865389687,0.2141113886213805
wicbr_carat_v4_lodo,7,0.8409484113965716,0.02104728666584078,0.6140593027784711,0.029392313630506144,0.6140593027784711,0.029392313630506144,0.820781545979636,0.24112785257355254
wicbr_lodo_full,7,0.8208244897070385,0.051820238876160496,0.467960305866741,0.053970052654911164,0.467960305866741,0.053970052654911164,0.8273458934965587,0.20968601332789072
wicbr_lodo_no_fusion,7,0.8188252789633614,0.038905292632141715,0.48864683056516306,0.08698954201060272,0.48864683056516306,0.08698954201060272,0.8075946470101675,0.2198799843240723
wicbr_lodo_phase_only,7,0.811451146999995,0.037604520790226685,0.630151527978125,0.044081092343174304,0.630151527978125,0.044081092343174304,0.798584059590385,0.21242078374766737
